City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,saryagash,KZ,62.56,clear sky,41.4511,69.1701,
636,tahe,CN,55.62,clear sky,52.3333,124.7333,
643,czluchow,PL,54.05,clear sky,53.6672,17.3588,
644,okhotsk,RU,50.86,scattered clouds,59.3833,143.3,
645,esteli,NI,67.37,overcast clouds,13.0919,-86.3538,
649,kaka,TM,61.99,overcast clouds,37.3482,59.6143,
650,sorland,NO,53.01,overcast clouds,67.667,12.6934,
652,nampula,MZ,69.75,few clouds,-15.1165,39.2666,
658,bonavista,CA,54.12,overcast clouds,48.6499,-53.1147,
667,smithers,CA,53.92,light rain,54.7804,-127.1743,
669,beisfjord,NO,55.04,overcast clouds,68.3751,17.5988,
674,yangambi,CD,66.38,broken clouds,0.8102,24.4336,
